Date;Price 
06/11/2023;1999.3
03/11/2023;2009.7
02/11/2023;2003.9
01/11/2023;1997.8
31/10/2023;2004.6
30/10/2023;2015
27/10/2023;1998.5
26/10/2023;1997.4
25/10/2023;1994.9
24/10/2023;1986.1
23/10/2023;1987.8
20/10/2023;1994.4
19/10/2023;1980.5
18/10/2023;1968.3
17/10/2023;1935.7
16/10/2023;1934.3
13/10/2023;1941.5
12/10/2023;1883
11/10/2023;1887.3
10/10/2023;1875.3
09/10/2023;1864.3
06/10/2023;1845.2
05/10/2023;1831.8
04/10/2023;1834.8
03/10/2023;1841.5
02/10/2023;1847.2
29/09/2023;1866.1
28/09/2023;1878.6
27/09/2023;1881.7
26/09/2023;1910.7
25/09/2023;1927.4
22/09/2023;1936.3
21/09/2023;1930.4
20/09/2023;1958
19/09/2023;1944.5
18/09/2023;1944.3
15/09/2023;1937
14/09/2023;1923.7
13/09/2023;1923.5
12/09/2023;1926.1
11/09/2023;1938.2
08/09/2023;1933.7
07/09/2023;1933.3
06/09/2023;1935
05/09/2023;1943.5
04/09/2023;1952.6
01/09/2023;1957.8
31/08/2023;1956.6
30/08/2023;1963.7
29/08/2023;1946.1
28/08/2023;1927.9
25/08/2023;1921.3
24/08/2023;1928.5
23/08/2023;1929.9
22/08/2023;1908.1
21/08/2023;1905.1
18/08/2023;1898.1
17/08/2023;1896.7
16/08/2023;1909.8
15/08/2023;1916.5
14/08/2023;1925.2
11/08/2023;1927.7
10/08/2023;1930
09/08/2023;1931.5
08/08/2023;1940.5
07/08/2023;1950.5
04/08/2023;1956.6
03/08/2023;1949.4
02/08/2023;1955.5
01/08/2023;1959.2
31/07/2023;1989.3
28/07/2023;1980
27/07/2023;1955.5
26/07/2023;1979.9
25/07/2023;1973.4
24/07/2023;1971.9
21/07/2023;1976.2
20/07/2023;1980.5
19/07/2023;1990.3
18/07/2023;1990.3
17/07/2023;1966
14/07/2023;1974
13/07/2023;1973.4
12/07/2023;1971.4
11/07/2023;1946.7
10/07/2023;1940.4
07/07/2023;1941.9
06/07/2023;1924.8
05/07/2023;1936.4
04/07/2023;1927.1
03/07/2023;1938.7
30/06/2023;1938.3
29/06/2023;1926.6
28/06/2023;1922.2
27/06/2023;1923.8
26/06/2023;1933.8
23/06/2023;1929.6
22/06/2023;1923.7
21/06/2023;1944.9
20/06/2023;1947.7
19/06/2023;1947.7
16/06/2023;1971.2
15/06/2023;1970.7
14/06/2023;1968.9
13/06/2023;1958.6
12/06/2023;1969.7
09/06/2023;1977.2
08/06/2023;1978.6
07/06/2023;1958.4
06/06/2023;1981.5
05/06/2023;1974.3
02/06/2023;1969.6
01/06/2023;1995.5
31/05/2023;1982.1
30/05/2023;1977.1
29/05/2023;1977.1
26/05/2023;1954
25/05/2023;1953.2
24/05/2023;1974.1
23/05/2023;1984
22/05/2023;1986.7
19/05/2023;1991.2
18/05/2023;1969.4
17/05/2023;1994.6
16/05/2023;2002.8
15/05/2023;2032.6
12/05/2023;2029.7
11/05/2023;2030.4
10/05/2023;2047
09/05/2023;2052.9
08/05/2023;2043.2
05/05/2023;2034.7
04/05/2023;2065.6
03/05/2023;2046.9
02/05/2023;2033.2
01/05/2023;2002
28/04/2023;2008.6
27/04/2023;2008.1
26/04/2023;1996
25/04/2023;2004.5
24/04/2023;1999.8
21/04/2023;1990.5
20/04/2023;2019.1
19/04/2023;2007.3
18/04/2023;2019.7
17/04/2023;2007
14/04/2023;2015.8
13/04/2023;2055.3
12/04/2023;2024.9
11/04/2023;2019
10/04/2023;2003.8
06/04/2023;2026.4
05/04/2023;2035.6
04/04/2023;2038.2
03/04/2023;2000.4
31/03/2023;1986.2
30/03/2023;1997.7
29/03/2023;1975.2
28/03/2023;1981.4
27/03/2023;1962.2
24/03/2023;1992.4
23/03/2023;2004.1
22/03/2023;1957.8
21/03/2023;1949.5
20/03/2023;1991
17/03/2023;1981.3
16/03/2023;1930.8
15/03/2023;1939.2
14/03/2023;1918.6
13/03/2023;1924.2
10/03/2023;1875.1
09/03/2023;1842.5
08/03/2023;1826.5
07/03/2023;1827.8
06/03/2023;1862.5
03/03/2023;1862.5
02/03/2023;1848.4
01/03/2023;1853.2
28/02/2023;1844.6
27/02/2023;1832.8
24/02/2023;1817.1
